Razao Social;Fundo;Segmento;Codigo
DIAMANTE FDO INV IMOB;FII DIAMANTE;MB;DAMT;
DOVEL FDO INV IMOB;FII DOVEL;MB;DOVL;
ENERGY RESORT FDO. INVEST. IMOB.;FII ENERGY;;EGYR;
EQI RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOBILI�RIO;FII EQI RECE;;EQIR;
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB;FII ESTOQ RJ;;ERCR;
EUROPA 105 - FDO INV IMOB;FII EUROPA;;ERPA;
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII EVEN II;;KEVE;
EVEN PERMUTA KINEA FII - FDO INV IMOB;FII EV KINEA;;KINP;
EXES FUNDO DE INVESTIMENTO IMOBILI�RIO;FII EXES;;EXES;
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.;FII FL RECEB;;FLCR;
FATOR RENDA GALP�O FDO INV IMOB;FII FATOR GP;;FAGL;
FATOR VERITA FDO INV IMOB - FII;FII FATOR VE;;VRTA;
FDO BRAS�LIO MACHADO DE INVESTIMENTO IMOBILI�RIO;FII BRASILIO;;BMII;
FDO DE INV IMBL RIO BRAVO OPORTUNIDADES IMBL - FII;FII MERC BR;;MBRF;
FDO DE INV IMOB LEBLON REALTY DESENVOLVIMENTO I;FII LEBLON;;LRDI;
FDO DE INV IMOB MAU� CAPITAL HIGH YIELD - FII;FII MAUA HY;;MCHY;
FDO DE INV IMOB MAUA CAPITAL MPD DESENV RESID;FII MAUA MPD;;MMPD;
FDO DE INV IMOBILI�RIO DE CRI INTEGRAL BREI;FII BREI;;IBCR;
FDO DE INV. MOGNO CERTIFICADOS DE RECEB�VEIS IMOB.;FII MOGNO HG;;MGCR;
FDO DE INVEST IMOB GUARDIAN MULTIESTRAT�GIA I;FII GUARD MU;;GAME;
FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO;FII BTG CRI;;BTCR;
FDO INV IMOB - BTG PACTUAL METROPOLIS;FII MTRS;;MTRS;
FDO INV IMOB - FII ANCAR IC;FII ANCAR IC;MB;ANCR;
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL;FII ANH EDUC;;FAED;
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS;FII BMBRC LC;;BMLC;
FDO INV IMOB - FII BRLPROP;FII BRLPROP;;BPRP;
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;FII BC FUND;;BRCR;
FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI;FII EXCELLEN;;FEXC;
FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;FII BC FFII;;BCFF;
FDO INV IMOB - FII CAMPUS FARIA LIMA;FII CAMPUSFL;;FCFL;
FDO INV IMOB - FII CENESP;FII CENESP;;CNES;
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;FII CEO CCP;;CEOC;
FDO INV IMOB - FII EDIF�CIO ALMIRANTE BARROSO;FII ALMIRANT;MB;FAMB;
FDO INV IMOB - FII EDIF�CIO GALERIA;FII GALERIA;;EDGA;
FDO INV IMOB - FII ELDORADO;FII ELDORADO;MB;ELDO;
FDO INV IMOB - FII FLORIPA SHOPPING;FII FLORIPA;;FLRP;
FDO INV IMOB - FII HOSPITAL DA CRIAN�A;FII CRIANCA;;HCRI;
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;FII LOURDES;;NSLU;
FDO INV IMOB - FII HOTEL MAXINVEST;FII HOTEL MX;;HTMX;
FDO INV IMOB - FII MAX RETAIL;FII MAX RET;;MAXR;
FDO INV IMOB - FII NOVO HORIZONTE;FII NOVOHORI;;NVHO;
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;FII D PEDRO;;PQDP;
FDO INV IMOB - FII PATEO BANDEIRANTES;FII PTO BAND;;PATB;
FDO INV IMOB - FII RBR DESENVOLVIMENTO;FII RBR DES;;RBRM;
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;FII RBRHGRAD;;RBRR;
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS;FII REC RECE;;RECR;
FDO INV IMOB - FII REC RENDA IMOBILIARIA;FII REC REND;;RECT;
FDO INV IMOB - FII SHOPPING JARDIM SUL;FII SHOPJSUL;;JRDM;
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO;FII SHOP PDP;MB;SHDP;
FDO INV IMOB - FII SIA CORPORATE;FII SIA CORP;MB;SAIC;
FDO INV IMOB - FII TB OFFICE;FII TBOFFICE;;TBOF;
FDO INV IMOB - FII TORRE ALMIRANTE;FII TORRE AL;;ALMI;
FDO INV IMOB - FII TORRE NORTE;FII TORRE NO;;TRNT;
FDO INV IMOB - FII VILA OL�MPIA CORPORATE;FII OLIMPIA;;VLOL;
FDO INV IMOB - NCH EQI HIGH YIELD RECEB�VEIS IMOB;FII NCH EQI;;NCHB;
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;FII OURI FOF;;OUFF;
FDO INV IMOB - OURINVEST RE I;FII WTC SP;MB;WTSP;
FDO INV IMOB - V2 PROPERTIES;FII V2 PROP;;VVPR;
FDO INV IMOB - VBI LOG�STICO;FII VBI LOG;;LVBI;
FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII;FII BARIGUI;;BARI;
FDO INV IMOB BR HOTEIS - FII;FII BRHOTEIS;MB;BRHT;
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;FII ABSOLUTO;;BPFF;
FDO INV IMOB BRASIL VAREJO - FII;FII B VAREJO;;BVAR;
FDO INV IMOB BTG PACTUAL SHOPPINGS;FII BTG SHOP;;BPML;
FDO INV IMOB BTG PACTUAL TERRAS AGR�COLAS;FII BTG TAGR;;BTRA;
FDO INV IMOB CAIXA CARTEIRA IMOBILI�RIA;FII CAIXA CI;;CXCI;
FDO INV IMOB CAIXA CEDAE;FII CX CEDAE;MB;CXCE;
FDO INV IMOB CAIXA SEQ LOG�STICA RENDA;FII CX TRX;;CXTL;
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL;FII C TEXTIL;;CTXT;
FDO INV IMOB CJ - FII;FII CJ;;CJFI;
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;FII S F LIMA;;FLMA;
FDO INV IMOB EDIF�CIO OURINVEST;FII OURINVES;MB;EDFO;
FDO INV IMOB EUROPAR;FII EUROPAR;;EURO;
FDO INV IMOB GENERAL SEVERIANO - FII;FII GEN SEV;MB;GESE;
FDO INV IMOB GRAND PLAZA SHOPPING;FII ABC IMOB;;ABCP;
